region,dom_movement,gdp_pc,flfp,women_ownership
The West,2.06370625,42.27961764705882,40.61818181818182,81.10630196936543
Middle East,-0.58346875,23.763609907120742,19.76206896551724,37.65791304347826
Eastern Europe,1.5104733333333333,14.852811764705882,31.71217391304348,76.77380658436213
Asia,0.6712928571428571,11.64487145969499,34.892307692307696,67.50685714285714
Latin America,1.493684,11.103501176470589,40.95882352941177,66.38610256410256
Africa,0.8838705533596838,5.135589090909091,30.532183908045976,79.56941704035874
